Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Divorced,Referral,4,Arts,Evening,Master,Foreign,Master,None,Unemployed,Self-employed,1,0,1,0,Male,0,35,0,7,2,2,3,16.16,4,0,6,4,3,1.15,4,4.52,7.03,30138.91
Single,Referral,1,Law,Daytime,Bachelor,Local,High School,None,Self-employed,Employed,1,0,0,1,Male,1,24,1,8,4,4,7,15.25,2,2,7,4,9,4.5,2,11.11,2.37,20442.53
Divorced,Referral,1,Engineering,Evening,High School,Foreign,None,None,Employed,Self-employed,1,1,1,0,Female,0,37,0,4,6,7,0,15.96,3,3,5,9,7,2.63,2,6.9,5.12,37812.81
Divorced,Online,2,Engineering,Evening,Master,Local,Bachelor,High School,Employed,Employed,0,1,0,1,Male,0,33,0,1,3,4,8,8.71,2,6,6,9,5,7.98,3,11.24,1.04,34353.12
Single,Referral,4,Arts,Evening,Bachelor,Foreign,Master,None,Employed,Unemployed,0,1,1,1,Female,1,39,0,7,1,4,5,16.36,1,9,5,9,2,18.45,1,3.84,3.85,43052.2
Single,Referral,4,Law,Evening,Master,Local,None,Bachelor,Unemployed,Self-employed,1,1,0,1,Female,0,21,0,5,8,6,3,2.4,0,3,7,7,9,9.44,3,5.1,4.88,36162.18
Divorced,Online,2,Law,Daytime,High School,Local,Master,Bachelor,Employed,Employed,1,0,0,0,Female,1,38,0,7,5,6,8,10.89,4,1,2,2,4,0.27,3,13.27,6.52,24346.9
Married,Referral,3,Science,Daytime,High School,Local,Bachelor,None,Unemployed,Employed,1,0,1,0,Male,1,32,1,4,5,3,4,0.12,4,6,5,5,5,5.65,0,5.73,9.51,35283.5
Divorced,Online,1,Law,Evening,High School,Local,Bachelor,None,Employed,Self-employed,0,0,1,0,Male,1,22,1,9,4,9,4,6.49,0,5,6,4,4,0.89,3,13.04,6.01,17392.15
Divorced,In-person,5,Law,Daytime,Master,Local,Master,Master,Employed,Unemployed,1,0,0,0,Male,1,24,1,1,6,2,4,7.33,0,2,6,8,5,0.73,4,6.35,7.44,18784.11
