Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Divorced,In-person,3,Medicine,Daytime,High School,Local,Master,None,Employed,Unemployed,0,0,0,0,Male,0,29,0,3,9,1,2,16.39,0,7,9,6,1,6.08,4,7.91,0.49,35842.79
Single,Online,5,Science,Daytime,Bachelor,Local,High School,None,Employed,Self-employed,1,0,1,0,Male,0,25,1,0,4,9,8,17.6,1,7,5,1,9,6.08,3,14.09,5.81,6123.48
Divorced,Referral,1,Arts,Daytime,Master,Local,Bachelor,None,Employed,Employed,0,1,0,1,Female,0,39,1,6,6,2,4,10.51,4,2,1,4,5,4.61,2,4.34,4.26,12714.54
Divorced,Referral,4,Engineering,Daytime,High School,Foreign,None,Bachelor,Self-employed,Self-employed,1,1,1,1,Male,0,35,0,1,5,5,8,4.89,4,3,5,7,3,0.03,0,9.2,5.48,25411.05
Single,Online,1,Science,Evening,Bachelor,Local,Master,Bachelor,Self-employed,Unemployed,0,0,0,1,Female,1,29,0,1,1,9,8,2.26,0,9,8,2,2,14.59,3,12.44,5.21,25469.26
Single,Referral,4,Medicine,Evening,Master,Foreign,None,None,Unemployed,Unemployed,0,0,1,1,Female,0,27,0,8,9,4,0,1.74,1,5,8,9,1,19.34,3,14.31,3.5,35856.52
Divorced,Referral,1,Medicine,Evening,Master,Foreign,High School,High School,Unemployed,Employed,1,0,1,0,Female,0,17,1,4,1,3,1,14.38,2,9,5,8,0,4.49,2,11.96,6.77,45959.59
Married,Online,5,Science,Evening,High School,Local,High School,Master,Unemployed,Unemployed,0,1,0,1,Female,0,38,0,1,8,7,4,8.4,0,2,9,8,4,13.26,3,11.65,7.59,33756.45
Divorced,Online,4,Arts,Daytime,High School,Local,High School,High School,Employed,Employed,1,0,1,1,Male,1,23,1,8,9,6,3,18.11,0,1,1,7,1,14.84,2,12.92,0.15,47909.08
Divorced,Referral,3,Medicine,Daytime,High School,Foreign,Master,High School,Employed,Unemployed,0,1,1,0,Female,1,37,0,8,9,8,9,14.79,4,5,4,4,1,16.97,1,8.35,2.07,44672.7
Divorced,Referral,1,Arts,Daytime,Bachelor,Local,Bachelor,High School,Self-employed,Unemployed,1,1,0,1,Male,1,31,1,0,1,3,8,3.83,0,4,3,2,6,8.45,4,12.67,7.13,31302.49
Divorced,Referral,1,Medicine,Evening,High School,Local,Master,None,Employed,Employed,1,1,1,0,Female,1,17,0,2,2,5,6,12.28,0,9,2,3,7,6.06,1,3.1,3.87,42520.64
Single,In-person,4,Medicine,Evening,Master,Foreign,None,Bachelor,Employed,Employed,0,0,0,1,Female,0,28,1,3,1,4,5,8.71,0,4,8,6,9,6.51,2,14.09,6.62,33915.99
Divorced,In-person,3,Law,Daytime,Master,Foreign,Master,High School,Employed,Employed,1,1,0,1,Male,0,23,0,6,2,4,6,11.54,4,9,7,5,7,14.25,2,8.32,3.47,8535.1
Married,In-person,3,Medicine,Daytime,High School,Local,None,None,Unemployed,Unemployed,0,0,1,0,Male,1,31,0,9,8,4,0,14.76,2,4,9,8,3,16.34,1,9.64,3.91,38325.41
Single,Online,5,Engineering,Evening,High School,Foreign,Master,High School,Unemployed,Unemployed,0,1,1,0,Male,1,37,0,3,5,8,0,16.12,2,9,2,6,0,3.63,0,6.06,1.59,9270.88
Married,In-person,3,Science,Evening,Master,Local,Bachelor,High School,Self-employed,Self-employed,0,0,1,1,Female,0,35,1,1,7,6,7,16.87,0,4,4,6,6,7.42,0,11.91,2.58,31733.73
Married,Online,3,Science,Daytime,Bachelor,Local,None,None,Employed,Employed,1,1,1,1,Female,0,17,0,6,2,3,1,5.08,4,2,6,1,0,18.04,0,3.92,6.05,36618.81
Married,Online,3,Arts,Daytime,High School,Local,High School,Bachelor,Employed,Unemployed,1,0,1,1,Male,1,33,1,5,8,5,9,0.62,2,6,3,4,3,16.13,2,13.47,4.33,7993.74
Married,In-person,2,Medicine,Evening,High School,Foreign,High School,Bachelor,Self-employed,Unemployed,0,1,1,0,Male,1,33,1,2,6,6,8,14.79,2,5,8,5,7,19.7,3,12.94,7.74,15385.76
